accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
2020010282953,2020,010282953,2,90,electric scooter
2020010263035,2020,010263035,1,90,electric scooter
2020010282551,2020,010282551,2,90,electric scooter
2020010274520,2020,010274520,2,90,electric scooter
2020990982411,2020,990982411,2,90,electric scooter
2020420990870,2020,420990870,2,90,electric scooter
2020451006071,2020,451006071,1,90,electric scooter
2020010261702,2020,010261702,1,90,electric scooter
2020332000659,2020,332000659,1,90,electric scooter
2020010270728,2020,010270728,2,90,electric scooter
2020400991898,2020,400991898,2,90,electric scooter
2020010280914,2020,010280914,2,90,electric scooter
2020010250073,2020,010250073,1,90,electric scooter
2020010263054,2020,010263054,2,90,electric scooter
2020552000624,2020,552000624,2,90,electric scooter
2020991010048,2020,991010048,2,90,electric scooter
2020010264198,2020,010264198,2,90,electric scooter
2020010282628,2020,010282628,1,90,electric scooter
2020010234443,2020,010234443,2,90,electric scooter
2020010263494,2020,010263494,1,90,electric scooter
2020552000861,2020,552000861,1,90,electric scooter
2020460984801,2020,460984801,2,90,electric scooter
2020010285335,2020,010285335,2,90,electric scooter
2020122000614,2020,122000614,1,90,electric scooter
2020010236051,2020,010236051,2,90,electric scooter
2020302001138,2020,302001138,2,90,electric scooter
2020010268586,2020,010268586,2,90,electric scooter
2020010273372,2020,010273372,2,90,electric scooter
2020401005102,2020,401005102,1,90,electric scooter
2020010263755,2020,010263755,1,90,electric scooter
2020010284172,2020,010284172,2,90,electric scooter
2020010251847,2020,010251847,1,90,electric scooter
2020010245657,2020,010245657,1,90,electric scooter
2020010266766,2020,010266766,2,90,electric scooter
2020430269937,2020,430269937,1,90,electric scooter
2020010284619,2020,010284619,1,90,electric scooter
2020410956546,2020,410956546,1,90,electric scooter
2020010250918,2020,010250918,2,90,electric scooter
2020471011242,2020,471011242,5,90,electric scooter
2020549893520,2020,549893520,1,90,electric scooter
2020010275857,2020,010275857,1,90,electric scooter
2020421015133,2020,421015133,1,90,electric scooter
2020351007969,2020,351007969,1,90,electric scooter
2020010266799,2020,010266799,2,90,electric scooter
2020010241092,2020,010241092,1,90,electric scooter
2020500947083,2020,500947083,1,90,electric scooter
2020010285465,2020,010285465,2,90,electric scooter
2020430360544,2020,430360544,1,90,electric scooter
2020010282982,2020,010282982,2,90,electric scooter
2020010279055,2020,010279055,2,90,electric scooter
2020450997343,2020,450997343,2,90,electric scooter
2020010255834,2020,010255834,2,90,electric scooter
2020010265050,2020,010265050,2,90,electric scooter
2020440013410,2020,440013410,1,90,electric scooter
2020010265488,2020,010265488,2,90,electric scooter
2020010243374,2020,010243374,2,90,electric scooter
2020430283506,2020,430283506,1,90,electric scooter
2020010253280,2020,010253280,2,90,electric scooter
2020460978310,2020,460978310,2,90,electric scooter
2020010272239,2020,010272239,2,90,electric scooter
2020010283811,2020,010283811,1,90,electric scooter
2020010260263,2020,010260263,2,90,electric scooter
2020010272014,2020,010272014,2,90,electric scooter
2022111202505,2022,111202505,2,90,electric scooter
2022122200088,2022,122200088,1,90,electric scooter
2022122200531,2022,122200531,1,90,electric scooter
2022122200788,2022,122200788,1,90,electric scooter
2022122200867,2022,122200867,1,90,electric scooter
2022122200987,2022,122200987,1,90,electric scooter
2022122201134,2022,122201134,1,90,electric scooter
2022122201334,2022,122201334,1,90,electric scooter
2022122201373,2022,122201373,1,90,electric scooter
2022141135455,2022,141135455,2,90,electric scooter
2022141135695,2022,141135695,1,90,electric scooter
2022141147847,2022,141147847,1,90,electric scooter
2022141150607,2022,141150607,2,90,electric scooter
2022141160127,2022,141160127,2,90,electric scooter
2022141161878,2022,141161878,2,90,electric scooter
2022141172028,2022,141172028,1,90,electric scooter
2022141175089,2022,141175089,1,90,electric scooter
2022141176678,2022,141176678,2,90,electric scooter
2022141183443,2022,141183443,1,90,electric scooter
2022141187221,2022,141187221,2,90,electric scooter
2022141196670,2022,141196670,2,90,electric scooter
2022141206698,2022,141206698,1,90,electric scooter
2022141226330,2022,141226330,1,90,electric scooter
2022141252412,2022,141252412,2,90,electric scooter
2022161138174,2022,161138174,2,90,electric scooter
2022161142103,2022,161142103,2,90,electric scooter
2022161155392,2022,161155392,2,90,electric scooter
2022161157578,2022,161157578,1,90,electric scooter
2022161161448,2022,161161448,2,90,electric scooter
2022161175107,2022,161175107,2,90,electric scooter
2022161191483,2022,161191483,1,90,electric scooter
2022161206051,2022,161206051,2,90,electric scooter
2022161207287,2022,161207287,2,90,electric scooter
2022161215948,2022,161215948,2,90,electric scooter
2022161217747,2022,161217747,2,90,electric scooter
2022161218201,2022,161218201,2,90,electric scooter
2022161219312,2022,161219312,1,90,electric scooter
2022161221743,2022,161221743,2,90,electric scooter
2022161226774,2022,161226774,1,90,electric scooter
2022161237215,2022,161237215,1,90,electric scooter
